# q	R(q)
1.42368058e-02	9.99013913e-01
1.56604844e-02	9.97201582e-01
1.70841625e-02	1.00000000e+00
1.85078401e-02	9.98838316e-01
1.99315182e-02	9.96319110e-01
2.13551957e-02	9.92375339e-01
2.27788704e-02	9.89743023e-01
2.42025465e-02	9.86378958e-01
2.56262219e-02	9.75717850e-01
2.70498944e-02	9.60515827e-01
2.84735682e-02	9.30343836e-01
2.98972390e-02	8.36874918e-01
3.13209110e-02	5.06307942e-01
3.27445821e-02	9.57114507e-02
3.41682500e-02	1.72501680e-02
3.55919191e-02	2.19172468e-02
3.70155849e-02	3.02606295e-02
3.84392538e-02	3.46351062e-02
3.98629173e-02	3.63926902e-02
4.12865797e-02	3.56133498e-02
4.27102449e-02	3.31841454e-02
4.41339047e-02	3.00055263e-02
4.55575631e-02	2.62583437e-02
4.69812244e-02	2.23786456e-02
4.84048799e-02	1.86479132e-02
4.98285341e-02	1.48919751e-02
5.12521909e-02	1.15645186e-02
5.26046603e-02	8.81495735e-03
5.41706729e-02	6.16748023e-03
5.54519576e-02	4.41031274e-03
5.69467895e-02	2.85552699e-03
5.83704338e-02	1.82277111e-03
5.97940764e-02	1.09309472e-03
6.12177214e-02	6.45209121e-04
6.26413603e-02	4.51815994e-04
6.40649973e-02	4.05545553e-04
6.54886365e-02	4.71986389e-04
6.69122696e-02	6.33676016e-04
6.83359006e-02	8.24721598e-04
6.97595337e-02	1.02122815e-03
7.11831605e-02	1.19991309e-03
7.26067851e-02	1.37747504e-03
7.40304075e-02	1.45628994e-03
7.54540277e-02	1.56260066e-03
7.68776540e-02	1.56385635e-03
7.83012696e-02	1.55499805e-03
7.97248827e-02	1.48071534e-03
8.11484934e-02	1.37202330e-03
8.25721016e-02	1.25561119e-03
8.39957073e-02	1.12940707e-03
8.54193190e-02	9.70388349e-04
8.68429195e-02	8.14503931e-04
8.82665174e-02	6.66042995e-04
8.96901126e-02	5.22589578e-04
9.11137051e-02	3.97105516e-04
9.24661205e-02	2.92556151e-04
9.40320644e-02	2.05435132e-04
9.53844743e-02	1.37877745e-04
9.68080554e-02	8.99905383e-05
9.82316336e-02	6.01704429e-05
9.96552087e-02	4.57869602e-05
1.01078781e-01	4.57521348e-05
1.02502358e-01	5.87806384e-05
1.03925924e-01	7.33169291e-05
1.05349487e-01	9.99188747e-05
1.06773047e-01	1.24738986e-04
1.08196603e-01	1.53505862e-04
1.09620156e-01	1.75739919e-04
1.11043706e-01	1.95222433e-04
1.12467261e-01	2.04343119e-04
1.13890803e-01	2.12539731e-04
1.15314343e-01	2.14384693e-04
1.16737879e-01	2.07431638e-04
1.18161411e-01	2.05379924e-04
1.19584940e-01	1.91959662e-04
1.21008473e-01	1.68736759e-04
1.22431995e-01	1.48284283e-04
1.23855512e-01	1.36160797e-04
1.25279026e-01	1.13203424e-04
1.26702536e-01	9.44118517e-05
1.28126043e-01	7.29784509e-05
1.29549554e-01	5.48038635e-05
1.30973052e-01	4.14296076e-05
1.32396546e-01	2.71453572e-05
1.33820037e-01	1.79044017e-05
1.35243523e-01	1.12678662e-05
1.36667005e-01	6.18756266e-06
1.38090492e-01	6.12377904e-06
1.39513965e-01	5.68246646e-06
1.40937435e-01	8.06260534e-06
1.42432068e-01	9.64781290e-06
