# q	R(q)
1.42368058e-02	9.82044589e-01
1.56604844e-02	9.83464915e-01
1.70841625e-02	9.96593967e-01
1.85078401e-02	9.91586687e-01
1.99315182e-02	1.00000000e+00
2.13551957e-02	9.92022512e-01
2.27788704e-02	9.98568937e-01
2.42025465e-02	9.87853497e-01
2.56262219e-02	9.89907742e-01
2.70498944e-02	9.70983733e-01
2.84735682e-02	9.46983437e-01
2.98972390e-02	8.80801224e-01
3.13209110e-02	7.19476528e-01
3.27445821e-02	3.67459239e-01
3.41682500e-02	1.15510963e-01
3.55919191e-02	8.06758266e-02
3.70155849e-02	7.01391188e-02
3.84392538e-02	6.14631441e-02
3.98629173e-02	5.12756187e-02
4.12865797e-02	4.27515249e-02
4.27102449e-02	3.34815932e-02
4.41339047e-02	2.54358846e-02
4.55575631e-02	1.83058769e-02
4.69812244e-02	1.27533556e-02
4.84048799e-02	8.09708921e-03
4.98285341e-02	5.06697636e-03
5.11810049e-02	2.72937432e-03
5.26758419e-02	1.41903158e-03
5.40994914e-02	6.12297600e-04
5.55231391e-02	3.28475560e-04
5.69467895e-02	3.61580064e-04
5.83704338e-02	5.49662522e-04
5.97940764e-02	7.89839220e-04
6.12177214e-02	1.06217044e-03
6.26413603e-02	1.31711525e-03
6.40649973e-02	1.45729095e-03
6.54886365e-02	1.51852702e-03
6.69122696e-02	1.56528192e-03
6.83359006e-02	1.46318592e-03
6.97595337e-02	1.40552582e-03
7.11119801e-02	1.17709374e-03
7.26067851e-02	1.06406540e-03
7.40304075e-02	8.80648522e-04
7.54540277e-02	7.17192736e-04
7.68776540e-02	5.30855152e-04
7.83012696e-02	4.35611063e-04
7.97248827e-02	3.24093883e-04
8.11484934e-02	2.50403810e-04
8.25721016e-02	1.85126238e-04
8.39957073e-02	1.61616756e-04
8.54193190e-02	1.45902206e-04
8.68429195e-02	1.33658480e-04
8.82665174e-02	1.38611041e-04
8.96901126e-02	1.43406388e-04
9.11137051e-02	1.68397288e-04
9.25372948e-02	1.61492000e-04
9.39608902e-02	1.76953011e-04
9.53844743e-02	1.60857424e-04
9.68080554e-02	1.75578481e-04
9.82316336e-02	1.75937243e-04
9.96552087e-02	1.63121564e-04
1.01078781e-01	1.62799229e-04
1.02502358e-01	1.58590629e-04
1.03925924e-01	1.23488110e-04
1.05349487e-01	1.19383055e-04
1.06773047e-01	1.02566636e-04
1.08196603e-01	9.46274959e-05
1.09620156e-01	8.68945574e-05
1.11043706e-01	7.31960151e-05
1.12467261e-01	6.31407527e-05
1.13890803e-01	5.88458351e-05
1.15314343e-01	5.66354921e-05
1.16737879e-01	6.22966808e-05
1.18161411e-01	4.75474338e-05
1.19584940e-01	5.43744507e-05
1.21008473e-01	5.23207207e-05
1.22431995e-01	4.75194895e-05
1.23855512e-01	4.21378404e-05
1.25279026e-01	4.34801989e-05
1.26773715e-01	4.97443190e-05
1.28126043e-01	4.65206097e-05
1.29549554e-01	4.24871806e-05
1.30973052e-01	3.74526907e-05
1.32396546e-01	3.54344561e-05
1.33820037e-01	3.11148876e-05
1.35243523e-01	3.28961178e-05
1.36667005e-01	2.42064352e-05
1.38090492e-01	2.68482573e-05
1.39513965e-01	2.75823412e-05
1.40937435e-01	2.54965082e-05
1.42360900e-01	2.66438782e-05
1.43784361e-01	1.94379718e-05
1.45207818e-01	2.19970554e-05
1.46631270e-01	2.00330537e-05
1.48125901e-01	2.11888292e-05
1.49478160e-01	2.49936726e-05
1.50901599e-01	1.32294175e-05
1.52325050e-01	1.49780468e-05
1.53748479e-01	1.52103619e-05
1.55171904e-01	1.64492640e-05
1.56595324e-01	1.20199226e-05
1.58018739e-01	1.47993208e-05
1.59442149e-01	1.50182341e-05
1.60865555e-01	1.34737057e-05
1.62288956e-01	1.17739547e-05
1.63712351e-01	1.25426001e-05
1.65135742e-01	1.13982815e-05
1.66559127e-01	9.07494407e-06
1.67982508e-01	9.84692108e-06
1.69405900e-01	1.17843608e-05
1.70829271e-01	8.43073844e-06
1.72252636e-01	9.27168515e-06
1.73675996e-01	7.55361002e-06
1.75099350e-01	1.02610674e-05
1.76522699e-01	1.03398905e-05
1.77946043e-01	8.49423083e-06
1.79369382e-01	7.31384994e-06
1.80792715e-01	7.88724994e-06
1.82216042e-01	7.19958971e-06
1.83639364e-01	5.59079085e-06
1.85062680e-01	8.16758282e-06
1.86485991e-01	6.11950164e-06
1.87909313e-01	5.76729036e-06
1.89332612e-01	4.51889607e-06
1.90684729e-01	4.93369698e-06
1.92179193e-01	7.56833479e-06
1.93602475e-01	4.56654050e-06
1.95025751e-01	5.55684346e-06
1.96449021e-01	4.93589114e-06
1.97872285e-01	5.62103336e-06
1.99295543e-01	4.86539221e-06
2.00718795e-01	4.26255248e-06
2.02142041e-01	4.51470999e-06
2.03565280e-01	3.64255540e-06
2.04988531e-01	4.03464158e-06
2.06411758e-01	4.42284629e-06
2.07834979e-01	3.84216415e-06
2.09258193e-01	3.27088515e-06
2.10681401e-01	3.31647258e-06
2.12104603e-01	4.03373799e-06
2.13456644e-01	3.13870114e-06
